"itemsTagged","street","type","time","lat","long"
250,"Seventh St","greaseGumStains","8/18/2019, 4:11:45 PM",37.7774089,-122.4087642
224,"Seventh St","greaseGumStains","8/18/2019, 2:40:31 PM",37.77861362,-122.410322
210,"Minna St","greaseGumStains","8/18/2019, 2:50:49 PM",37.77727439,-122.4123301
201,"Moss St","greaseGumStains","8/18/2019, 3:52:34 PM",37.77836598,-122.4087763
200,"Natoma St","greaseGumStains","8/18/2019, 2:34:54 PM",37.7782684,-122.4101016
161,"Minna St","graffiti","8/18/2019, 3:05:24 PM",37.77929828,-122.4098679
135,"Townsend St","litter","8/18/2019, 5:35:50 PM",37.77284649,-122.400608
121,"Minna St","greaseGumStains","8/18/2019, 3:00:43 PM",37.7791994,-122.4101007
121,"Seventh St","greaseGumStains","8/18/2019, 2:57:13 PM",37.77906745,-122.4102694
121,"Seventh St","greaseGumStains","8/18/2019, 2:37:55 PM",37.77845524,-122.4102314
108,"Townsend St","litter","8/18/2019, 5:27:02 PM",37.77459415,-122.398374
101,"Seventh St","greaseGumStains","8/18/2019, 4:01:06 PM",37.77771964,-122.4090846
100,"Minna St","greaseGumStains","8/18/2019, 3:14:03 PM",37.77963628,-122.4094861
100,"Seventh St","greaseGumStains","8/18/2019, 2:42:18 PM",37.77861509,-122.4104663
77,"Townsend St","litter","8/18/2019, 5:37:39 PM",37.77256794,-122.4010136
73,"Townsend St","litter","8/18/2019, 5:28:55 PM",37.77417355,-122.3989295
73,"Minna St","graffiti","8/18/2019, 3:07:30 PM",37.779332,-122.4095775
72,"Seventh St","greaseGumStains","8/18/2019, 4:04:12 PM",37.77763913,-122.4090283
72,"Moss St","greaseGumStains","8/18/2019, 3:45:55 PM",37.7777679,-122.4081957
71,"Minna St","greaseGumStains","8/18/2019, 3:10:14 PM",37.77945802,-122.4095362
70,"Natoma St","greaseGumStains","8/18/2019, 2:35:53 PM",37.77837207,-122.4101703
65,"Natoma St","greaseGumStains","8/18/2019, 2:21:00 PM",37.77762368,-122.4109706
63,"Division St","litter","8/18/2019, 5:53:57 PM",37.7698035,-122.4053701
63,"Natoma St","greaseGumStains","8/18/2019, 2:05:47 PM",37.77703112,-122.4116191
62,"Fifth St","litter","8/18/2019, 5:22:49 PM",37.77521523,-122.3975183
62,"Natoma St","greaseGumStains","8/18/2019, 2:18:55 PM",37.77755429,-122.411086
62,"Natoma St","greaseGumStains","8/18/2019, 2:14:14 PM",37.77736774,-122.4112315
60,"Townsend St","litter","8/18/2019, 5:31:26 PM",37.7735719,-122.3996784
54,"Natoma St","greaseGumStains","8/18/2019, 2:08:50 PM",37.77730417,-122.4113893
