itemsTagged,street,type,lat,long,date,time_stamp,day,pretty_type,geometry,classification
1,Howard St,litter,37.77783439,-122.40942720000001,2019-08-26,2019-08-26 19:50:28,Mon,Litter,POINT (-122.4094272 37.77783439),residential
1,Howard St,greaseGumStains,37.77782948,-122.40942460000001,2019-08-26,2019-08-26 19:50:25,Mon,Grease & Gum,POINT (-122.4094246 37.77782948),residential
1,Howard St,poopUrine,37.777819799999996,-122.4094759,2019-08-26,2019-08-26 19:50:21,Mon,Poop & Urine,POINT (-122.4094759 37.7778198),residential
1,Howard St,poopUrine,37.7777996,-122.4095185,2019-08-26,2019-08-26 19:50:18,Mon,Poop & Urine,POINT (-122.4095185 37.7777996),residential
1,Howard St,poopUrine,37.77775513,-122.4095591,2019-08-26,2019-08-26 19:50:14,Mon,Poop & Urine,POINT (-122.4095591 37.77775513),residential
1,Howard St,poopUrine,37.77767597,-122.4096929,2019-08-26,2019-08-26 19:50:04,Mon,Poop & Urine,POINT (-122.4096929 37.77767597),residential
1,Howard St,greaseGumStains,37.77763435,-122.40974720000001,2019-08-26,2019-08-26 19:49:57,Mon,Grease & Gum,POINT (-122.4097472 37.77763435),residential
1,Howard St,graffiti,37.77762274,-122.40978659999999,2019-08-26,2019-08-26 19:49:50,Mon,Graffitti,POINT (-122.4097866 37.77762274),residential
1,Howard St,greaseGumStains,37.77758247,-122.4098124,2019-08-26,2019-08-26 19:49:46,Mon,Grease & Gum,POINT (-122.4098124 37.77758247),residential
1,Howard St,poopUrine,37.77757723,-122.4098168,2019-08-26,2019-08-26 19:49:41,Mon,Poop & Urine,POINT (-122.4098168 37.77757723),residential
1,Howard St,poopUrine,37.77758113,-122.4098307,2019-08-26,2019-08-26 19:49:37,Mon,Poop & Urine,POINT (-122.4098307 37.77758113),residential
1,Langton St,litter,37.77750552,-122.40988359999999,2019-08-26,2019-08-26 19:49:22,Mon,Litter,POINT (-122.4098836 37.77750552),residential
1,Langton St,treeIssueWeeds,37.77741252,-122.40982549999998,2019-08-26,2019-08-26 19:49:13,Mon,Other,POINT (-122.4098255 37.77741252),residential
1,Langton St,poopUrine,37.77737162,-122.4096845,2019-08-26,2019-08-26 19:48:19,Mon,Poop & Urine,POINT (-122.4096845 37.77737162),residential
1,Langton St,treeIssueWeeds,37.77744505,-122.40970959999999,2019-08-26,2019-08-26 19:48:12,Mon,Other,POINT (-122.4097096 37.77744505),residential
1,Langton St,treeIssueWeeds,37.77746382,-122.409853,2019-08-26,2019-08-26 19:47:54,Mon,Other,POINT (-122.409853 37.77746382),residential
1,Howard St,treeIssueWeeds,37.77747384,-122.4099654,2019-08-26,2019-08-26 19:47:36,Mon,Other,POINT (-122.4099654 37.77747384),residential
1,Howard St,trashCanIssue,37.77746185,-122.40997320000001,2019-08-26,2019-08-26 19:47:31,Mon,Other,POINT (-122.4099732 37.77746185),residential
1,Howard St,greaseGumStains,37.77726957,-122.4101305,2019-08-26,2019-08-26 19:46:54,Mon,Grease & Gum,POINT (-122.4101305 37.77726957),residential
1,Howard St,poopUrine,37.77721777,-122.4101203,2019-08-26,2019-08-26 19:46:50,Mon,Poop & Urine,POINT (-122.4101203 37.77721777),residential
1,Howard St,streetFurniture,37.77721735,-122.41014709999999,2019-08-26,2019-08-26 19:46:46,Mon,Other,POINT (-122.4101471 37.77721735),residential
1,Howard St,graffiti,37.77721702,-122.4102037,2019-08-26,2019-08-26 19:46:41,Mon,Graffitti,POINT (-122.4102037 37.77721702),residential
1,Howard St,poopUrine,37.77715302,-122.4102529,2019-08-26,2019-08-26 19:46:34,Mon,Poop & Urine,POINT (-122.4102529 37.77715302),residential
1,Howard St,poopUrine,37.77714288,-122.41030009999999,2019-08-26,2019-08-26 19:46:30,Mon,Poop & Urine,POINT (-122.4103001 37.77714288),residential
1,Howard St,greaseGumStains,37.77708861,-122.4103996,2019-08-26,2019-08-26 19:46:23,Mon,Grease & Gum,POINT (-122.4103996 37.77708861),residential
1,Rausch St,greaseGumStains,37.77706262,-122.4104104,2019-08-26,2019-08-26 19:46:07,Mon,Grease & Gum,POINT (-122.4104104 37.77706262),residential
1,Rausch St,graffiti,37.77706476,-122.4103979,2019-08-26,2019-08-26 19:46:03,Mon,Graffitti,POINT (-122.4103979 37.77706476),residential
1,Rausch St,graffiti,37.77695362,-122.410452,2019-08-26,2019-08-26 19:45:51,Mon,Graffitti,POINT (-122.410452 37.77695362),residential
1,Howard St,greaseGumStains,37.77689913,-122.41056100000002,2019-08-26,2019-08-26 19:45:37,Mon,Grease & Gum,POINT (-122.410561 37.77689913),residential
1,Howard St,poopUrine,37.77688136,-122.4106932,2019-08-26,2019-08-26 19:45:22,Mon,Poop & Urine,POINT (-122.4106932 37.77688136),residential
1,Howard St,treeIssueWeeds,37.77687889,-122.41077040000002,2019-08-26,2019-08-26 19:45:19,Mon,Other,POINT (-122.4107704 37.77687889),residential
1,Howard St,greaseGumStains,37.77684033,-122.4107882,2019-08-26,2019-08-26 19:45:12,Mon,Grease & Gum,POINT (-122.4107882 37.77684033),residential
1,Howard St,poopUrine,37.77675107,-122.41093559999999,2019-08-26,2019-08-26 19:44:56,Mon,Poop & Urine,POINT (-122.4109356 37.77675107),residential
1,Sumner St,greaseGumStains,37.77668456,-122.4109942,2019-08-26,2019-08-26 19:44:50,Mon,Grease & Gum,POINT (-122.4109942 37.77668456),residential
1,Howard St,needles,37.77674055,-122.4110116,2019-08-26,2019-08-26 19:44:44,Mon,Needles,POINT (-122.4110116 37.77674055),residential
1,Howard St,greaseGumStains,37.77683287,-122.4111075,2019-08-26,2019-08-26 19:44:11,Mon,Grease & Gum,POINT (-122.4111075 37.77683287),residential
1,Howard St,treeIssueWeeds,37.77685882,-122.41098490000002,2019-08-26,2019-08-26 19:43:44,Mon,Other,POINT (-122.4109849 37.77685882),residential
1,Howard St,poopUrine,37.77691057,-122.41093290000002,2019-08-26,2019-08-26 19:43:40,Mon,Poop & Urine,POINT (-122.4109329 37.77691057),residential
1,Howard St,graffiti,37.77694892,-122.41092649999999,2019-08-26,2019-08-26 19:43:34,Mon,Graffitti,POINT (-122.4109265 37.77694892),residential
1,Howard St,treeIssueWeeds,37.77697662,-122.41084170000002,2019-08-26,2019-08-26 19:43:26,Mon,Other,POINT (-122.4108417 37.77697662),residential
1,Howard St,poopUrine,37.77702360000001,-122.41075,2019-08-26,2019-08-26 19:43:15,Mon,Poop & Urine,POINT (-122.41075 37.77702360000001),residential
1,Howard St,litter,37.77705696,-122.410725,2019-08-26,2019-08-26 19:43:06,Mon,Litter,POINT (-122.410725 37.77705696),residential
1,Howard St,greaseGumStains,37.77706593,-122.4106307,2019-08-26,2019-08-26 19:42:50,Mon,Grease & Gum,POINT (-122.4106307 37.77706593),residential
1,Howard St,streetFurniture,37.77710654,-122.41057930000001,2019-08-26,2019-08-26 19:42:38,Mon,Other,POINT (-122.4105793 37.77710654),residential
1,Howard St,treeIssueWeeds,37.77715369,-122.410559,2019-08-26,2019-08-26 19:42:34,Mon,Other,POINT (-122.410559 37.77715369),residential
1,Howard St,litter,37.77714715,-122.41037990000001,2019-08-26,2019-08-26 19:42:11,Mon,Litter,POINT (-122.4103799 37.77714715),residential
1,Howard St,poopUrine,37.7772091,-122.4103982,2019-08-26,2019-08-26 19:42:05,Mon,Poop & Urine,POINT (-122.4103982 37.7772091),residential
1,Howard St,treeIssueWeeds,37.7772399,-122.41041670000001,2019-08-26,2019-08-26 19:42:01,Mon,Other,POINT (-122.4104167 37.7772399),residential
1,Howard St,greaseGumStains,37.77725205,-122.4104101,2019-08-26,2019-08-26 19:41:55,Mon,Grease & Gum,POINT (-122.4104101 37.77725205),residential
1,Howard St,greaseGumStains,37.777298200000004,-122.41042659999998,2019-08-26,2019-08-26 19:41:49,Mon,Grease & Gum,POINT (-122.4104266 37.7772982),residential
1,Howard St,graffiti,37.77735423,-122.410402,2019-08-26,2019-08-26 19:41:45,Mon,Graffitti,POINT (-122.410402 37.77735423),residential
1,Howard St,litter,37.77745096,-122.4102916,2019-08-26,2019-08-26 19:41:31,Mon,Litter,POINT (-122.4102916 37.77745096),residential
